"FIFA Rank","country","Happiness Rank","country-2","Score","GDP per capita","Healthy life expectancy","Freedom to make life choices","Perceptions of corruption"
103,"Hong Kong",76,"Hong Kong","5.430","1.438","1.122","0.440","0.287"
104,"Uganda",136,"Uganda","4.189","0.332","0.443","0.356","0.060"
106,"Myanmar",131,"Myanmar","4.360","0.710","0.555","0.525","0.172"
108,"Lebanon",91,"Lebanon","5.197","0.987","0.815","0.216","0.027"
109,"South Africa",106,"South Africa","4.722","0.960","0.469","0.389","0.055"
110,"Luxembourg",14,"Luxembourg","7.090","1.609","1.012","0.526","0.316"
112,"Guatemala",27,"Guatemala","6.436","0.800","0.746","0.535","0.078"
113,"Burkina Faso",115,"Burkina Faso","4.587","0.331","0.380","0.255","0.113"
114,"Togo",139,"Togo","4.085","0.275","0.410","0.293","0.085"
117,"Croatia",75,"Croatia","5.432","1.155","0.914","0.296","0.022"
118,"Estonia",55,"Estonia","5.893","1.237","0.874","0.495","0.161"
120,"Bangladesh",125,"Bangladesh","4.456","0.562","0.723","0.527","0.143"
123,"Mauritius",57,"Mauritius","5.888","1.120","0.798","0.498","0.060"
124,"Benin",102,"Benin","4.883","0.393","0.397","0.349","0.082"
125,"Panama",31,"Panama","6.321","1.149","0.910","0.516","0.054"
128,"Slovenia",44,"Slovenia","6.118","1.258","0.953","0.564","0.057"
129,"India",140,"India","4.015","0.755","0.588","0.498","0.085"
130,"Belarus",81,"Belarus","5.323","1.067","0.789","0.235","0.142"
131,"Ukraine",133,"Ukraine","4.332","0.820","0.739","0.178","0.010"
132,"Vietnam",94,"Vietnam","5.175","0.741","0.851","0.543","0.073"
135,"Botswana",148,"Botswana","3.488","1.041","0.538","0.455","0.100"
139,"Haiti",147,"Haiti","3.597","0.323","0.449","0.026","0.110"
140,"Libya",72,"Libya","5.525","1.044","0.673","0.416","0.152"
141,"Laos",105,"Laos","4.796","0.764","0.551","0.547","0.164"
142,"Mauritania",122,"Mauritania","4.490","0.570","0.489","0.066","0.088"
146,"Lesotho",144,"Lesotho","3.802","0.489","0.168","0.359","0.093"
148,"Dominican Republic",77,"Dominican Republic","5.425","1.015","0.779","0.497","0.101"
149,"Pakistan",67,"Pakistan","5.653","0.677","0.535","0.313","0.098"
150,"Nicaragua",45,"Nicaragua","6.105","0.694","0.835","0.435","0.127"
153,"Central African Republic",155,"Central African Republic","3.083","0.026","0.105","0.225","0.035"
154,"Gambia",120,"Gambia","4.516","0.308","0.428","0.382","0.167"
155,"Namibia",113,"Namibia","4.639","0.879","0.477","0.401","0.056"
157,"Nepal",100,"Nepal","4.913","0.446","0.677","0.439","0.089"
161,"Sri Lanka",130,"Sri Lanka","4.366","0.949","0.831","0.470","0.047"
162,"Philippines",69,"Philippines","5.631","0.807","0.657","0.558","0.107"
163,"Chad",132,"Chad","4.350","0.350","0.192","0.174","0.078"
146,"Slovakia",38,"Slovakia","6.198","1.246","0.881","0.334","0.014"
67,"Czech Republic",20,"Czech Republic","6.852","1.269","0.920","0.457","0.036"
156,"Georgia",119,"Georgia","4.519","0.886","0.752","0.346","0.164"
149,"Moldova",71,"Moldova","5.529","0.685","0.739","0.245","0.000"
159,"Armenia",116,"Armenia","4.559","0.850","0.815","0.283","0.064"
170,"Azerbaijan",90,"Azerbaijan","5.208","1.043","0.769","0.351","0.182"
77,"Uzbekistan",41,"Uzbekistan","6.174","0.745","0.756","0.631","0.240"
130,"Turkmenistan",87,"Turkmenistan","5.247","1.052","0.657","0.394","0.028"
153,"Kazakhstan",60,"Kazakhstan","5.809","1.173","0.729","0.410","0.096"
155,"Tajikistan",74,"Tajikistan","5.467","0.493","0.718","0.389","0.144"
159,"Somalia",112,"Somalia","4.668","0.000","0.268","0.559","0.270"
168,"Rwanda",152,"Rwanda","3.334","0.359","0.614","0.555","0.411"
180,"Cambodia",109,"Cambodia","4.700","0.574","0.637","0.609","0.062"
171,"Bosnia and Herzegovina",78,"Bosnia and Herzegovina","5.386","0.945","0.845","0.212","0.006"
196,"Mongolia",83,"Mongolia","5.285","0.948","0.667","0.317","0.038"
200,"Bhutan",95,"Bhutan","5.082","0.813","0.604","0.457","0.167"
204,"Afghanistan",154,"Afghanistan","3.203","0.350","0.361","0.000","0.025"
47,"Serbia",70,"Serbia","5.603","1.004","0.854","0.282","0.039"
207,"Comoros",142,"Comoros","3.973","0.274","0.505","0.142","0.078"
199,"Montenegro",73,"Montenegro","5.523","1.051","0.871","0.197","0.080"
199,"South Sudan",156,"South Sudan","2.853","0.306","0.295","0.010","0.091"
190,"Kosovo",46,"Kosovo","6.100","0.882","0.758","0.489","0.006"
